perl-subs	1.03-481.1.el9_6.noarch
perl-Symbol	1.08-481.1.el9_6.noarch
perl-Term-ANSIColor	5.01-461.el9.0.1.noarch
perl-Term-Cap	1.17-460.el9.0.1.noarch
perl-Text-ParseWords	3.30-460.el9.noarch
perl-Text-Tabs+Wrap	2013.0523-460.el9.0.1.noarch
perl-Thread-Queue	3.14-460.el9.0.1.noarch
perl-threads	2.25-460.el9.x86_64
perl-threads-shared	1.61-460.el9.0.1.x86_64
perl-Time-Local	1.300-7.el9.noarch
perl-URI	5.09-3.el9.0.1.noarch
perl-vars	1.05-481.1.el9_6.noarch
pigz	2.8-1.el9.x86_64
pkgconf	1.7.3-10.el9.x86_64
pkgconf-m4	1.7.3-10.el9.noarch
pkgconf-pkg-config	1.7.3-10.el9.x86_64
policycoreutils	3.6-3.el9.x86_64
polkit	0.117-14.el9.x86_64
polkit-libs	0.117-14.el9.x86_64
polkit-pkla-compat	0.1-21.el9.x86_64
popt	1.18-8.el9.x86_64
prefixdevname	0.1.0-8.el9.x86_64
procps-ng	3.3.17-14.el9.x86_64
protobuf-c	1.3.3-13.el9.x86_64
psmisc	23.4-3.el9.x86_64
publicsuffix-list-dafsa	20210518-3.el9.noarch
python3	3.9.25-3.el9_7.1.x86_64
python3-dateutil	2.9.0.post0-1.el9_7.noarch
python3-dbus	1.2.18-2.el9.0.1.x86_64
python3-dnf	4.14.0-31.el9.rocky.0.1.noarch
python3-dnf-plugins-core	4.3.0-24.el9_7.noarch
python3-firewall	1.3.4-18.el9_7.noarch
python3-gobject-base	3.40.1-6.el9.x86_64
python3-gobject-base-noarch	3.40.1-6.el9.noarch
python3-gpg	1.15.1-6.el9.x86_64
python3-hawkey	0.69.0-17.el9_7.rocky.0.1.x86_64
python3-inotify	0.9.6-25.el9.0.1.noarch
python3-libcomps	0.1.18-1.el9.x86_64
python3-libdnf	0.69.0-17.el9_7.rocky.0.1.x86_64
python3-libs	3.9.25-3.el9_7.1.x86_64
python3-libselinux	3.6-3.el9.x86_64
python3-linux-procfs	0.7.3-1.el9.noarch
python3-nftables	1.0.9-6.el9_7.x86_64
python3-perf	5.14.0-611.36.1.el9_7.x86_64
python3-pip-wheel	21.3.1-1.el9.noarch
python3-pyudev	0.22.0-6.el9.0.1.noarch
python3-rpm	4.16.1.3-39.el9.x86_64
python3-setuptools	53.0.0-15.el9.noarch
python3-setuptools-wheel	53.0.0-15.el9.noarch
python3-six	1.15.0-9.el9.noarch
python3-systemd	234-19.el9.x86_64
python-unversioned-command	3.9.25-3.el9_7.1.noarch
qemu-guest-agent	9.1.0-29.el9_7.6.x86_64
readline	8.1-4.el9.x86_64
rocky-gpg-keys	9.7-1.4.el9.noarch
rocky-release	9.7-1.4.el9.noarch
rocky-repos	9.7-1.4.el9.noarch
rootfiles	8.1-35.el9.noarch
rpm	4.16.1.3-39.el9.x86_64
rpm-build-libs	4.16.1.3-39.el9.x86_64
rpm-libs	4.16.1.3-39.el9.x86_64
rpm-plugin-audit	4.16.1.3-39.el9.x86_64
rpm-plugin-selinux	4.16.1.3-39.el9.x86_64
rpm-plugin-systemd-inhibit	4.16.1.3-39.el9.x86_64
rpm-sign-libs	4.16.1.3-39.el9.x86_64
rsync	3.2.5-3.el9.x86_64
rsyslog	8.2506.0-2.el9.x86_64
rsyslog-logrotate	8.2506.0-2.el9.x86_64
sed	4.8-9.el9.x86_64
selinux-policy	38.1.65-1.el9_7.1.noarch
selinux-policy-targeted	38.1.65-1.el9_7.1.noarch
setup	2.13.7-10.el9.noarch
sg3_utils	1.47-10.el9.x86_64
sg3_utils-libs	1.47-10.el9.x86_64
